step 0
Graph has 1 connected components
longest diameter of any components is 47
         27397806 function calls (27397680 primitive calls) in 43.542 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  2009178   17.718    0.000   17.718    0.000 {method 'pop' of 'list' objects}
        6   15.955    2.659   39.390    6.565 dijkstra.py:101(dijkstra)
  2009172    2.948    0.000    2.948    0.000 {built-in method _bisect.bisect_right}
      6/1    1.822    0.304   41.855   41.855 dijkstra.py:62(calc_connected_component_diameter)
 12962490    1.444    0.000    1.444    0.000 {method 'add' of 'set' objects}
  2009172    0.818    0.000    4.013    0.000 dijkstra.py:27(add_element)
        1    0.611    0.611    1.064    1.064 dijkstra.py:16(read_graph)
        6    0.283    0.047    0.283    0.047 dijkstra.py:107(<dictcomp>)
        6    0.260    0.043    0.260    0.043 dijkstra.py:106(<dictcomp>)
  2009172    0.248    0.000    0.248    0.000 {method 'insert' of 'list' objects}
        1    0.221    0.221   43.447   43.447 dijkstra.py:79(main)
  2009184    0.215    0.000    0.215    0.000 dijkstra.py:66(<genexpr>)
        9    0.196    0.022    0.477    0.053 {built-in method builtins.max}
   925872    0.182    0.000    0.182    0.000 {method 'split' of 'str' objects}
   927527    0.111    0.000    0.111    0.000 {method 'startswith' of 'str' objects}
        2    0.098    0.049    0.098    0.049 dijkstra.py:37(<setcomp>)
        1    0.083    0.083   43.542   43.542 dijkstra.py:1(<module>)
   925872    0.073    0.000    0.073    0.000 {method 'strip' of 'str' objects}
   926124    0.067    0.000    0.067    0.000 {method 'append' of 'list' objects}
   669728    0.066    0.000    0.066    0.000 dijkstra.py:41(<genexpr>)
        7    0.045    0.006    0.159    0.023 dijkstra.py:40(get_farthest_vertexes)
        1    0.024    0.024    0.024    0.024 {method 'difference_update' of 'set' objects}
        2    0.023    0.011    0.023    0.012 dijkstra.py:47(get_path)
     1538    0.019    0.000    0.019    0.000 {built-in method _codecs.charmap_decode}
      117    0.002    0.000    0.002    0.000 {built-in method __new__ of type object at 0x000000005ACBBC00}
1123/1081    0.001    0.000    0.002    0.000 typing.py:1164(__setattr__)
       88    0.001    0.000    0.008    0.000 typing.py:922(__new__)
     1538    0.001    0.000    0.020    0.000 cp1250.py:22(decode)
      264    0.001    0.000    0.001    0.000 _weakrefset.py:36(__init__)
       88    0.001    0.000    0.005    0.000 abc.py:132(__new__)
     2153    0.001    0.000    0.001    0.000 {built-in method builtins.getattr}
       12    0.000    0.000    0.000    0.000 {built-in method nt.stat}
       42    0.000    0.000    0.005    0.000 typing.py:1099(__getitem__)
       67    0.000    0.000    0.005    0.000 {built-in method builtins.__build_class__}
        2    0.000    0.000    0.000    0.000 {built-in method marshal.loads}
     2328    0.000    0.000    0.000    0.000 {built-in method builtins.isinstance}
       88    0.000    0.000    0.000    0.000 typing.py:852(_next_in_mro)
      4/1    0.000    0.000   43.542   43.542 {built-in method builtins.exec}
       88    0.000    0.000    0.001    0.000 abc.py:135(<setcomp>)
        1    0.000    0.000    0.009    0.009 typing.py:1(<module>)
   129/83    0.000    0.000    0.000    0.000 typing.py:336(_get_type_vars)
       42    0.000    0.000    0.000    0.000 typing.py:896(_no_slots_copy)
       70    0.000    0.000    0.000    0.000 typing.py:354(_type_check)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:830(get_data)
        1    0.000    0.000    0.000    0.000 {built-in method io.open}
        2    0.000    0.000    0.000    0.000 {method 'read' of '_io.FileIO' objects}
       98    0.000    0.000    0.005    0.000 typing.py:133(__new__)
      597    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
    68/64    0.000    0.000    0.006    0.000 typing.py:676(inner)
      148    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
       88    0.000    0.000    0.000    0.000 typing.py:1025(_abc_negative_cache)
      297    0.000    0.000    0.000    0.000 typing.py:971(<genexpr>)
    49/44    0.000    0.000    0.000    0.000 typing.py:580(_subs_tree)
      199    0.000    0.000    0.000    0.000 typing.py:1089(__eq__)
        8    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1233(find_spec)
    70/59    0.000    0.000    0.000    0.000 typing.py:553(_replace_arg)
       83    0.000    0.000    0.000    0.000 typing.py:342(_type_vars)
    47/42    0.000    0.000    0.000    0.000 typing.py:1083(_subs_tree)
      213    0.000    0.000    0.000    0.000 typing.py:974(<genexpr>)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:430(_validate_bytecode_header)
       98    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
       88    0.000    0.000    0.000    0.000 typing.py:1039(_abc_negative_cache_version)
       67    0.000    0.000    0.000    0.000 typing.py:866(_make_subclasshook)
       56    0.000    0.000    0.000    0.000 typing.py:1047(_get_type_vars)
       99    0.000    0.000    0.000    0.000 {built-in method builtins.any}
       86    0.000    0.000    0.000    0.000 typing.py:518(_get_type_vars)
      240    0.000    0.000    0.000    0.000 typing.py:975(<genexpr>)
        2    0.000    0.000    0.010    0.005 <frozen importlib._bootstrap_external>:672(exec_module)
        3    0.000    0.000    0.000    0.000 {built-in method builtins.print}
       10    0.000    0.000    0.000    0.000 functools.py:44(update_wrapper)
       45    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
       97    0.000    0.000    0.000    0.000 typing.py:1107(<genexpr>)
        9    0.000    0.000    0.000    0.000 typing.py:498(__init__)
        4    0.000    0.000    0.000    0.000 typing.py:613(_remove_dups_flatten)
       32    0.000    0.000    0.000    0.000 typing.py:654(_check_generic)
       48    0.000    0.000    0.000    0.000 {built-in method builtins.all}
       40    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:59(<listcomp>)
      3/2    0.000    0.000    0.011    0.005 <frozen importlib._bootstrap>:966(_find_and_load)
       40    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:57(_path_join)
      119    0.000    0.000    0.000    0.000 typing.py:1096(__hash__)
       97    0.000    0.000    0.000    0.000 typing.py:984(<genexpr>)
        2    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1117(_get_spec)
        3    0.000    0.000    0.000    0.000 typing.py:732(__new__)
        5    0.000    0.000    0.000    0.000 typing.py:668(_tp_cache)
       82    0.000    0.000    0.000    0.000 typing.py:931(<genexpr>)
        3    0.000    0.000    0.000    0.000 typing.py:1248(__getitem__)
        1    0.000    0.000    0.000    0.000 {built-in method _imp.create_builtin}
      129    0.000    0.000    0.000    0.000 {built-in method builtins.len}
       95    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
        3    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:870(_find_spec)
       18    0.000    0.000    0.000    0.000 typing.py:168(__new__)
        1    0.000    0.000    0.000    0.000 typing.py:2244(IO)
        2    0.000    0.000    0.000    0.000 typing.py:790(__getitem__)
        2    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:743(get_code)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:263(cache_from_source)
        6    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:504(_init_module_attrs)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
        1    0.000    0.000    0.000    0.000 typing.py:907(GenericMeta)
       43    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
       85    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {method 'match' of '_sre.SRE_Pattern' objects}
      3/2    0.000    0.000    0.010    0.005 <frozen importlib._bootstrap>:651(_load_unlocked)
        6    0.000    0.000    0.000    0.000 cp1250.py:18(encode)
        2    0.000    0.000    0.098    0.049 dijkstra.py:36(get_visited)
       98    0.000    0.000    0.000    0.000 typing.py:139(__init__)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:63(_path_split)
       50    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
        2    0.000    0.000    0.000    0.000 re.py:286(_compile)
       16    0.000    0.000    0.000    0.000 typing.py:646(<genexpr>)
        7    0.000    0.000    0.000    0.000 typing.py:206(__new__)
        1    0.000    0.000    0.000    0.000 typing.py:2354(TextIO)
        4    0.000    0.000    0.000    0.000 {method 'rsplit' of 'str' objects}
        2    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:78(acquire)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:485(_compile_bytecode)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:103(release)
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1080(_path_importer_cache)
        6    0.000    0.000    0.000    0.000 {built-in method _codecs.charmap_encode}
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:524(spec_from_file_location)
       44    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:52(_r_long)
        1    0.000    0.000    0.000    0.000 sre_compile.py:557(compile)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:318(__exit__)
       12    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:75(_path_stat)
        3    0.000    0.000    0.000    0.000 ntpath.py:122(splitdrive)
        8    0.000    0.000    0.000    0.000 {method 'values' of 'dict' objects}
      3/2    0.000    0.000    0.011    0.005 <frozen importlib._bootstrap>:936(_find_and_load_unlocked)
       28    0.000    0.000    0.000    0.000 abc.py:9(abstractmethod)
        1    0.000    0.000    0.000    0.000 bisect.py:1(<module>)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:564(module_from_spec)
