         35876769 function calls (35708270 primitive calls) in 25.571 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     7579    4.551    0.001    4.551    0.001 {pandas._libs.ops.scalar_compare}
       16    1.817    0.114    6.288    0.393 sheet.py:771(read)
  1166779    1.196    0.000    2.001    0.000 sheet.py:2198(unpack_RK)
  2033640    1.084    0.000    1.131    0.000 sheet.py:696(put_cell_unragged)
        1    1.066    1.066    1.238    1.238 {built-in method exec_}
  5048434    0.807    0.000    0.807    0.000 {built-in method _struct.unpack}
  1354744    0.796    0.000    0.995    0.000 book.py:677(get_record_parts)
   183988    0.508    0.000    0.996    0.000 _xlrd.py:102(<listcomp>)
  2047140    0.489    0.000    0.489    0.000 _xlrd.py:60(_parse_cell)
2321298/2320942    0.468    0.000    0.951    0.000 {built-in method builtins.isinstance}
  1183944    0.417    0.000    0.427    0.000 {built-in method builtins.getattr}
    24483    0.300    0.000    0.300    0.000 {method 'copy' of 'numpy.ndarray' objects}
      377    0.275    0.001    0.799    0.002 {method 'Parse' of 'pyexpat.xmlparser' objects}
     7530    0.222    0.000    3.049    0.000 indexing.py:1523(_setitem_with_indexer)
     5875    0.221    0.000    0.300    0.000 xlsx.py:622(do_row)
  1165398    0.218    0.000    0.397    0.000 timemachine.py:18(<lambda>)
     7593    0.215    0.000    0.215    0.000 blocks.py:322(set)
   762086    0.214    0.000    0.477    0.000 generic.py:10(_check)
   190149    0.207    0.000    0.328    0.000 ElementTree.py:1538(_start)
41185/41159    0.195    0.000    2.429    0.000 series.py:201(__init__)
     7618    0.194    0.000    0.520    0.000 managers.py:1014(iset)
       26    0.184    0.007    1.271    0.049 _xlrd.py:49(get_sheet_data)
  1165455    0.179    0.000    0.179    0.000 {method 'encode' of 'str' objects}
1235047/1121986    0.164    0.000    0.208    0.000 {built-in method builtins.len}
     7530    0.154    0.000    2.435    0.000 indexing.py:1674(isetter)
    80336    0.143    0.000    0.301    0.000 generic.py:5132(__setattr__)
95098/79783    0.142    0.000    0.216    0.000 {built-in method numpy.array}
    47263    0.130    0.000    0.156    0.000 excel.py:670(_generate_body)
     2791    0.119    0.000    0.119    0.000 {built-in method nt.stat}
  1166155    0.119    0.000    0.119    0.000 {built-in method builtins.chr}
    26642    0.115    0.000    0.806    0.000 blocks.py:2650(get_block_type)
   129886    0.115    0.000    0.318    0.000 common.py:1460(is_extension_array_dtype)
    11700    0.113    0.000    0.141    0.000 {pandas._libs.lib.infer_dtype}
    50079    0.106    0.000    0.212    0.000 blocks.py:124(__init__)
   658524    0.103    0.000    0.103    0.000 ElementTree.py:1527(_fixname)
   130033    0.101    0.000    0.143    0.000 base.py:413(find)
    31154    0.099    0.000    0.253    0.000 base.py:4077(__getitem__)
      270    0.097    0.000    0.097    0.000 {pandas._libs.parsers.sanitize_objects}
   125782    0.095    0.000    0.176    0.000 abc.py:180(__instancecheck__)
   123411    0.092    0.000    0.263    0.000 {pandas._libs.lib.is_list_like}
        1    0.092    0.092   20.232   20.232 jst_lib.py:37(read_gus)
    18258    0.085    0.000    0.937    0.000 construction.py:389(sanitize_array)
       10    0.083    0.008    1.284    0.128 xlsx.py:543(own_process_stream)
      562    0.082    0.000    0.082    0.000 {built-in method marshal.loads}
   188189    0.080    0.000    0.112    0.000 ElementTree.py:1286(read_events)
       86    0.079    0.001    0.212    0.002 {pandas._libs.lib.map_infer}
  1169907    0.078    0.000    0.078    0.000 timemachine.py:20(<lambda>)
    41613    0.074    0.000    0.074    0.000 generic.py:195(__init__)
   190149    0.073    0.000    0.118    0.000 ElementTree.py:1550(_end)
   153034    0.072    0.000    0.072    0.000 _weakrefset.py:70(__contains__)
   118079    0.072    0.000    0.412    0.000 base.py:256(is_dtype)
        5    0.070    0.014    0.739    0.148 _xlsxwriter.py:195(write_cells)
    85683    0.070    0.000    0.156    0.000 common.py:1600(_is_dtype_type)
    81/80    0.069    0.001    0.072    0.001 {built-in method _imp.create_dynamic}
    15595    0.068    0.000    0.231    0.000 managers.py:955(iget)
    18232    0.068    0.000    0.117    0.000 cast.py:1179(maybe_castable)
   182325    0.067    0.000    0.099    0.000 {built-in method builtins.hasattr}
   187892    0.065    0.000    0.195    0.000 ElementTree.py:1506(handler)
    15344    0.065    0.000    0.911    0.000 managers.py:356(apply)
505479/501158    0.065    0.000    0.078    0.000 {built-in method builtins.issubclass}
    63853    0.064    0.000    0.064    0.000 generic.py:5114(__getattr__)
      170    0.063    0.000    0.063    0.000 {built-in method pandas._libs.missing.isnaobj}
    48689    0.062    0.000    0.074    0.000 managers.py:1499(__init__)
   839717    0.062    0.000    0.062    0.000 {method 'append' of 'list' objects}
   178029    0.061    0.000    0.070    0.000 jst_lib.py:43(<lambda>)
    26316    0.058    0.000    1.032    0.000 blocks.py:2696(make_block)
      326    0.058    0.000    0.058    0.000 {pandas._libs.lib.maybe_convert_numeric}
    41149    0.057    0.000    0.233    0.000 blocks.py:2368(__init__)
    32833    0.056    0.000    0.090    0.000 _dtype.py:333(_name_get)
     7530    0.056    0.000    0.480    0.000 blocks.py:777(setitem)
    27670    0.056    0.000    0.309    0.000 series.py:868(__getitem__)
    47348    0.055    0.000    0.131    0.000 excel.py:430(_format_value)
    72478    0.055    0.000    0.096    0.000 series.py:442(name)
    15060    0.055    0.000    0.713    0.000 indexing.py:1133(_convert_to_indexer)
    66715    0.054    0.000    0.203    0.000 common.py:194(is_object_dtype)
71359/69704    0.050    0.000    0.601    0.000 <frozen importlib._bootstrap>:997(_handle_fromlist)
    35729    0.050    0.000    0.110    0.000 xmlwriter.py:129(_xml_number_element)
    43414    0.049    0.000    0.164    0.000 base.py:2845(get_loc)
    50459    0.048    0.000    0.057    0.000 blocks.py:237(mgr_locs)
      224    0.047    0.000    0.047    0.000 {method 'compress' of 'zlib.Compress' objects}
    47348    0.047    0.000    0.047    0.000 {built-in method pandas._libs.json.dumps}
        1    0.046    0.046    0.063    0.063 __init__.py:2124(_unmultiplied_rgba8888_to_premultiplied_argb32)
    64405    0.046    0.000    0.083    0.000 series.py:492(name)
    10493    0.046    0.000    0.242    0.000 cast.py:1301(maybe_cast_to_datetime)
    47115    0.046    0.000    0.207    0.000 worksheet.py:5737(_write_cell)
    35729    0.044    0.000    0.089    0.000 worksheet.py:574(_write_number)
     8097    0.043    0.000    0.043    0.000 {method 'nonzero' of 'numpy.ndarray' objects}
    47348    0.043    0.000    0.186    0.000 worksheet.py:421(_write)
    27454    0.043    0.000    0.097    0.000 common.py:224(is_sparse)
    27670    0.041    0.000    0.225    0.000 series.py:974(_get_value)
       26    0.041    0.002    0.056    0.002 parsers.py:3274(<listcomp>)
     7530    0.041    0.000    3.954    0.001 indexing.py:661(__setitem__)
   190149    0.041    0.000    0.041    0.000 {method 'start' of 'xml.etree.ElementTree.TreeBuilder' objects}
   183988    0.040    0.000    0.040    0.000 sheet.py:483(row_types)
   100737    0.040    0.000    0.059    0.000 inference.py:322(is_hashable)
   183988    0.039    0.000    0.039    0.000 sheet.py:491(row_values)
    18258    0.039    0.000    0.480    0.000 construction.py:516(_try_cast)
        1    0.038    0.038    0.038    0.038 {built-in method show}
    47348    0.038    0.000    0.251    0.000 worksheet.py:57(cell_wrapper)
    10483    0.037    0.000    0.172    0.000 cast.py:1193(maybe_infer_to_datetimelike)
    43414    0.037    0.000    0.082    0.000 base.py:4970(_maybe_cast_indexer)
    15905    0.036    0.000    0.070    0.000 generic.py:5086(__finalize__)
    15519    0.036    0.000    0.184    0.000 common.py:97(is_bool_indexer)
      104    0.035    0.000    0.052    0.001 parsers.py:3047(_remove_empty_lines)
     8127    0.035    0.000    0.422    0.000 frame.py:2866(__getitem__)
    15595    0.034    0.000    0.247    0.000 frame.py:3174(_box_col_values)
    23763    0.034    0.000    0.171    0.000 blocks.py:256(make_block_same_class)
     7564    0.033    0.000    0.309    0.000 indexers.py:348(check_array_indexer)
    29297    0.033    0.000    0.134    0.000 dtypes.py:1113(is_dtype)
    43414    0.033    0.000    0.033    0.000 {method 'get_loc' of 'pandas._libs.index.IndexEngine' objects}
    33553    0.033    0.000    0.036    0.000 series.py:398(_set_axis)
    17932    0.033    0.000    0.777    0.000 managers.py:1531(from_array)
    47348    0.032    0.000    0.045    0.000 _base.py:725(_value_with_fmt)
    34941    0.032    0.000    0.189    0.000 construction.py:338(extract_array)
     8077    0.031    0.000    0.324    0.000 generic.py:3523(_get_item_cache)
    47155    0.031    0.000    0.031    0.000 worksheet.py:3855(_check_dimensions)
    15405    0.031    0.000    0.045    0.000 numpy_.py:162(__init__)
    53145    0.031    0.000    0.051    0.000 managers.py:1569(dtype)
22413/20945    0.030    0.000    0.102    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
     7612    0.029    0.000    4.721    0.001 array_ops.py:194(comparison_op)
       26    0.029    0.001    0.029    0.001 {pandas._libs.lib.to_object_array}
   187913    0.029    0.000    0.946    0.000 ElementTree.py:1218(iterator)
    10041    0.029    0.000    1.444    0.000 frame.py:965(iterrows)
     7530    0.029    0.000    0.744    0.000 indexing.py:719(_convert_tuple)
   201429    0.028    0.000    0.028    0.000 {pandas._libs.lib.is_scalar}
   275487    0.028    0.000    0.028    0.000 {method 'get' of 'xml.etree.ElementTree.Element' objects}
      562    0.028    0.000    0.050    0.000 <frozen importlib._bootstrap_external>:830(get_data)
    36096    0.028    0.000    0.043    0.000 managers.py:1580(internal_values)
        5    0.027    0.005    0.257    0.051 worksheet.py:5555(_write_rows)
    27670    0.027    0.000    0.076    0.000 base.py:4617(_get_values_for_loc)
1744/1641    0.027    0.000    0.125    0.000 {built-in method builtins.__build_class__}
     7738    0.027    0.000    0.814    0.000 series.py:2728(_construct_result)
    22475    0.027    0.000    0.029    0.000 {method 'sub' of '_sre.SRE_Pattern' objects}
    29839    0.026    0.000    0.127    0.000 dtypes.py:901(is_dtype)
    47353    0.026    0.000    0.325    0.000 excel.py:687(get_formatted_cells)
56066/56034    0.026    0.000    0.124    0.000 missing.py:130(_isna)
    66955    0.026    0.000    0.035    0.000 common.py:149(cast_scalar_indexer)
    31056    0.026    0.000    0.035    0.000 generic.py:377(_get_axis)
    16944    0.025    0.000    0.103    0.000 common.py:1330(is_bool_dtype)
    58439    0.025    0.000    0.050    0.000 codecs.py:372(write)
    67529    0.025    0.000    0.025    0.000 {built-in method __new__ of type object at 0x000000005D01BC00}
     7789    0.024    0.000    0.276    0.000 frame.py:3692(_sanitize_column)
     7647    0.024    0.000    0.525    0.000 generic.py:5549(copy)
     7618    0.024    0.000    0.560    0.000 generic.py:3559(_iset_item)
     7612    0.024    0.000    5.683    0.001 __init__.py:359(wrapper)
   183878    0.024    0.000    0.031    0.000 parsers.py:3181(<genexpr>)
    31278    0.023    0.000    0.144    0.000 common.py:530(is_categorical_dtype)
    47348    0.023    0.000    0.209    0.000 worksheet.py:401(write)
    53145    0.023    0.000    0.074    0.000 series.py:427(dtype)
     7884    0.023    0.000    0.030    0.000 shape_base.py:83(atleast_2d)
     7530    0.023    0.000    0.875    0.000 frame.py:3088(_iset_item)
   104646    0.023    0.000    0.023    0.000 managers.py:1542(_block)
     7579    0.022    0.000    4.602    0.001 array_ops.py:38(comp_method_OBJECT_ARRAY)
    70180    0.022    0.000    0.022    0.000 {method 'search' of '_sre.SRE_Pattern' objects}
    30265    0.022    0.000    0.160    0.000 common.py:492(is_interval_dtype)
        1    0.022    0.022    0.022    0.022 compdoc.py:413(_locate_stream)
      562    0.022    0.000    0.022    0.000 {method 'read' of '_io.FileIO' objects}
     7620    0.022    0.000    0.293    0.000 frame.py:2813(_ixs)
    50079    0.021    0.000    0.021    0.000 blocks.py:135(_check_ndim)
    27552    0.021    0.000    0.064    0.000 base.py:5648(maybe_extract_name)
     7530    0.021    0.000    0.842    0.000 indexing.py:588(_get_setitem_indexer)
     2615    0.020    0.000    0.020    0.000 {built-in method numpy.empty}
     2472    0.020    0.000    0.035    0.000 inspect.py:614(cleandoc)
    54564    0.020    0.000    0.029    0.000 range.py:683(__len__)
    30807    0.020    0.000    0.151    0.000 common.py:456(is_period_dtype)
 1678/818    0.020    0.000    0.126    0.000 base.py:289(__new__)
111604/111228    0.020    0.000    0.021    0.000 {built-in method builtins.hash}
52592/37285    0.020    0.000    0.203    0.000 _asarray.py:16(asarray)
    15162    0.020    0.000    0.043    0.000 managers.py:1520(from_blocks)
    43414    0.019    0.000    0.022    0.000 base.py:1749(is_floating)
     7647    0.019    0.000    0.397    0.000 managers.py:750(copy)
    47115    0.019    0.000    0.019    0.000 utility.py:45(xl_rowcol_to_cell_fast)
    71188    0.018    0.000    0.028    0.000 common.py:180(<lambda>)
    49753    0.018    0.000    0.024    0.000 base.py:563(__len__)
     7564    0.018    0.000    0.429    0.000 indexing.py:2153(check_bool_indexer)
    58439    0.018    0.000    0.068    0.000 codecs.py:718(write)
    28633    0.018    0.000    0.119    0.000 common.py:381(is_datetime64tz_dtype)
     7738    0.018    0.000    5.758    0.001 common.py:50(new_method)
    51283    0.017    0.000    0.022    0.000 common.py:329(apply_if_callable)
   133555    0.017    0.000    0.017    0.000 {pandas._libs.lib.is_integer}
    11386    0.017    0.000    0.036    0.000 worksheet.py:527(_write_string)
    36096    0.017    0.000    0.060    0.000 series.py:540(_values)
     7530    0.017    0.000    0.059    0.000 indexing.py:627(_ensure_listlike_indexer)
     8854    0.016    0.000    0.043    0.000 managers.py:202(shape)
56066/56034    0.016    0.000    0.140    0.000 missing.py:47(isna)
   189660    0.016    0.000    0.016    0.000 timemachine.py:19(<lambda>)
   160167    0.016    0.000    0.016    0.000 {pandas._libs.lib.is_float}
     3346    0.016    0.000    0.016    0.000 {method 'reduce' of 'numpy.ufunc' objects}
      349    0.016    0.000    0.016    0.000 {method 'take' of 'numpy.ndarray' objects}
    15595    0.016    0.000    0.039    0.000 generic.py:3177(_set_as_cached)
     7689    0.015    0.000    0.174    0.000 frame.py:3712(reindexer)
     9015    0.015    0.000    0.023    0.000 base.py:459(_simple_new)
       97    0.015    0.000    0.015    0.000 {method 'set_text' of 'matplotlib.ft2font.FT2Font' objects}
    71188    0.015    0.000    0.015    0.000 common.py:178(classes)
   183988    0.015    0.000    0.015    0.000 parsers.py:2336(<lambda>)
    47348    0.015    0.000    0.015    0.000 excel.py:32(__init__)
    21312    0.015    0.000    0.020    0.000 common.py:1733(pandas_dtype)
    925/1    0.015    0.000   25.587   25.587 {built-in method builtins.exec}
   190149    0.015    0.000    0.015    0.000 {method 'end' of 'xml.etree.ElementTree.TreeBuilder' objects}
    34368    0.015    0.000    0.020    0.000 common.py:1565(_get_dtype)
     1977    0.015    0.000    0.046    0.000 {built-in method builtins.max}
    17984    0.015    0.000    0.071    0.000 construction.py:575(is_empty_data)
     7730    0.015    0.000    0.050    0.000 range.py:136(_simple_new)
   214854    0.014    0.000    0.014    0.000 {method 'strip' of 'str' objects}
    15701    0.014    0.000    0.021    0.000 blocks.py:2723(_extend_blocks)
    15405    0.014    0.000    0.076    0.000 series.py:574(array)
    23055    0.014    0.000    0.014    0.000 {method 'clear' of 'dict' objects}
      408    0.014    0.000    0.014    0.000 {built-in method builtins.compile}
     7610    0.014    0.000    0.067    0.000 range.py:389(_shallow_copy)
    62825    0.014    0.000    0.014    0.000 blocks.py:315(dtype)
    81/54    0.014    0.000    0.059    0.001 {built-in method _imp.exec_dynamic}
    15405    0.013    0.000    0.058    0.000 blocks.py:207(array_values)
   187892    0.013    0.000    0.013    0.000 {method 'append' of 'collections.deque' objects}
    11386    0.013    0.000    0.032    0.000 xmlwriter.py:102(_xml_string_element)
     7535    0.013    0.000    0.036    0.000 generic.py:3210(_maybe_update_cacher)
     8179    0.013    0.000    0.037    0.000 base.py:494(_shallow_copy)
     7530    0.013    0.000    0.033    0.000 indexers.py:258(length_of_indexer)
    58440    0.013    0.000    0.013    0.000 {method 'write' of '_io.BufferedWriter' objects}
    11586    0.013    0.000    0.030    0.000 common.py:696(is_integer_dtype)
    22973    0.013    0.000    0.026    0.000 generic.py:3243(_clear_item_cache)
    23135    0.013    0.000    0.082    0.000 inference.py:185(is_array_like)
    15391    0.012    0.000    0.021    0.000 generic.py:471(ndim)
    47500    0.012    0.000    0.025    0.000 xmlwriter.py:180(_escape_attributes)
    40892    0.012    0.000    0.050    0.000 re.py:286(_compile)
       66    0.012    0.000    0.012    0.000 {pandas._libs.algos.take_2d_axis1_object_object}
     5646    0.012    0.000    0.012    0.000 jst_lib.py:221(<lambda>)
        1    0.012    0.012   23.422   23.422 jst_lib.py:253(create_report)
      441    0.012    0.000    0.012    0.000 {method 'findall' of '_sre.SRE_Pattern' objects}
    30380    0.012    0.000    0.083    0.000 indexers.py:52(is_list_like_indexer)
    15771    0.012    0.000    0.012    0.000 blocks.py:319(iget)
     7673    0.012    0.000    0.054    0.000 generic.py:5188(_protect_consolidate)
    69856    0.012    0.000    0.012    0.000 blocks.py:233(mgr_locs)
    32833    0.012    0.000    0.018    0.000 _dtype.py:319(_name_includes_bit_suffix)
    22590    0.012    0.000    0.018    0.000 indexing.py:663(<genexpr>)
    58439    0.012    0.000    0.012    0.000 {built-in method _codecs.utf_8_encode}
   187892    0.011    0.000    0.011    0.000 {method 'popleft' of 'collections.deque' objects}
     5425    0.011    0.000    0.069    0.000 sharedstrings.py:86(_write_si)
    47263    0.011    0.000    0.168    0.000 excel.py:553(_format_regular_rows)
       19    0.011    0.001    0.012    0.001 necompiler.py:765(evaluate)
    11619    0.011    0.000    0.051    0.000 worksheet.py:366(_write_token_as_string)
